id,setId,type,correct,คำตอบที่คาด,ระดับ,ชิ้นเฉลย,ท่อนสรุป(ตัดมา 220 ตัวท้าย)
alvl1-2568-03-v2-q24,alvl1-2568-03-v2,mc,0,ข้อความ ก. ถูกต้องเพียงข้อเดียว,🔴 ไม่เจอเลย,41,ที่ใช้ลิมิตของผลบวก/ผลคูณใช้การแยกซ้าย-ขวาแล้วคำนวณตรงๆ—ถ้าซ้าย-ขวาไม่เท่ากันลิมิตหาค่าไม่ได้⚠️จุดที่เด็กมักผิดใช้\limf+g=\limf+\limgเลยโดยลืมเช็คว่า\limfและ\limgหาค่าได้หรือไม่ในข้อนี้ทั้งคู่หาค่าไม่ได้แต่ผลรวมหาค่าได้!
alvl1-2569-03-q05,alvl1-2569-03,mc,4,$f(x) = 300x - 10x^2$,🔴 ไม่เจอเลย,16,"ยนแล้วรายได้คือราคา\timesปริมาณซึ่งจะกลายเป็นฟังก์ชันกำลังสอง⚠️จุดที่เด็กมักผิดมักลืมว่าจำนวนชิ้นลดลงตาม""ส่วนต่างของราคาx-20""ไม่ใช่ตามxตรงๆทำให้ได้100-10xซึ่งผิดและมักลืมคูณด้วยราคาxในขั้นสุดท้ายตอบเป็นจำนวนชิ้นแทนรายได้"
alvl1-2569-03-q06,alvl1-2569-03,mc,4,โดเมนคือ $\mathbb{R}$ และเรนจ์คือ $\{y \in \mathbb{R} \mid y \ge 1\}$,🔴 ไม่เจอเลย,22,ากบวกตลอดหรือไม่ใช้หาโดเมนในขั้นตอนเดียว⚠️จุดที่เด็กมักผิดเผลอตอบเรนจ์เป็นy\ge0ค่าทั่วไปของรากที่สองโดยไม่สังเกตว่าค่าใต้รากต่ำสุดเป็น1ไม่ใช่0จึงทำให้fต่ำสุดเป็น1และมักเผลอใส่เงื่อนไขโดเมนx\ge1ทั้งที่ค่าใต้รากเป็นบวกตลอด
alvl1-2569-03-q11,alvl1-2569-03,mc,0,"วงกลมจุดศูนย์กลาง $(-1, 3)$ รัศมี $4$ พร้อมเส้นตรงแนวตั้ง $x = 2$ (บริ",🔴 ไม่เจอเลย,20,-z_0|คือระยะถึงจุดz_0เสมอจากนั้นจับคู่จุดศูนย์กลางและแนวเส้นตรงให้ตรงรูป⚠️จุดที่เด็กมักผิดมักหาจุดศูนย์กลางผิดเครื่องหมายz-3i+1ให้จุดศูนย์กลาง-13ไม่ใช่1-3หรือ3-1และมักสับสนว่า\operatornameRez<2เป็นเส้นแนวตั้งไม่ใช่แนวนอน
alvl1-2569-03-q12,alvl1-2569-03,mc,4,ข้อความ (ก) (ข) และ (ค) ถูกต้อง,🔴 ไม่เจอเลย,22,"1z=2\cos\thetaเป็นจำนวนจริงเสมอและการเช็ก""รากที่nของ1""ให้ยกกำลังnด้วยเดอมัวฟร์ดูว่าได้1หรือไม่⚠️จุดที่เด็กมักผิดมักคิดว่าzเป็นรากที่5ของ1เท่านั้นเลยตอบว่าคผิดแต่รากที่5ทุกตัวเป็นรากที่10ด้วย10เป็นพหุคูณของ5ข้อความคจึงถูก"
alvl1-2569-03-q14,alvl1-2569-03,mc,3,ไฮเพอร์โบลาที่มีแกนตามขวางขนานกับแกน $X$,🔴 ไม่เจอเลย,29,อยืนยันและหาทิศของแกน⚠️จุดที่เด็กมักผิดหลังจัดรูปได้y^2-x-3^2=-1เด็กมักรีบสรุปว่าแกนตามขวางขนานกับแกนYเพราะเห็นพจน์y^2อยู่หน้าแต่ความจริงต้องคูณ-1ให้ขวามือเป็น+1ก่อนแล้วดูว่าพจน์ไหนเป็นบวกคือพจน์xแกนตามขวางจึงขนานกับแกนX
alvl1-2569-03-q18,alvl1-2569-03,mc,0,มีเพียงข้อความ (ก) เท่านั้นที่ถูกต้อง,🔴 ไม่เจอเลย,24,้วแทนมุม90^\circทันทีจะตอบได้เร็ว⚠️จุดที่เด็กมักผิดมักสับสนว่าcrossproductสลับที่ได้เหมือนdotproductความจริงcrossสลับที่แล้วต้องติดลบ\vecu\times\vecv=-\vecv\times\vecuและมักลืมว่าเวกเตอร์ตั้งฉากทำให้dotเป็น0ไม่ใช่ค่าอื่น
alvl1-2569-03-q25,alvl1-2569-03,mc,1,$\displaystyle\lim_{x \to 2^+} f(x) < \lim_{x \to 2^-} f(x) = f(2)$,🔴 ไม่เจอเลย,23,"นเข้าจากขวาลิมิตขวาและจุดทึบค่าจริงfจุดวงกลมโปร่งบอกแค่""แนวโน้ม""ไม่ใช่ค่าจริงของฟังก์ชัน⚠️จุดที่เด็กมักผิดมักสับสนระหว่างจุดทึบกับจุดโปร่งทำให้เอาค่า1จุดโปร่งไปเป็นf2และมักสลับทิศซ้าย-ขวาของลิมิต2^-คือทางซ้าย2^+คือทางขวา"
chap-01-set-q09,chap-01-set,mc,4,ข้อ ข. และข้อ ค. เท่านั้นที่ถูก,🔴 ไม่เจอเลย,36,"ล้วเช็คการเป็นสมาชิกของC=\AB\—ใช้ตัวอย่างค้านเล็กๆ\1\\12\พิสูจน์ว่าข้อก.ผิดได้เร็ว⚠️จุดที่เด็กมักผิดมักคิดว่าA\subsetCจริงสับสนA\inCกับA\subsetC—Aเป็น""สมาชิก""ของCA\inCจริงแต่ไม่ใช่""สับเซต""ของCเพราะสมาชิกของAไม่ได้อยู่ในC"
chap-01-set-q12,chap-01-set,mc,4,ไม่มีคำตอบที่ถูกต้องในข้อ 1. ถึงข้อ 4.,🔴 ไม่เจอเลย,26,"ย่างค้านเพียง1กรณีก็ตัดข้อนั้นทิ้งได้—กรณีพิเศษที่ใช้บ่อยคือA\capB=\varnothingทำให้ข้อ12ล้ม⚠️จุดที่เด็กมักผิดข้อ2ดูน่าเชื่อสุดแต่ลืมกรณีdisjointA-B=Aทำให้เท่ากันไม่ใช่น้อยกว่า—""น้อยกว่า""<เข้มกว่า""น้อยกว่าหรือเท่ากับ""\leq"
chap-01-set-q31,chap-01-set,mc,3,"32, 6",🔴 ไม่เจอเลย,20,ังคับก่อนแล้วยกกำลังสองด้วยจำนวนตัวที่เหลือเลือกอิสระส่วนเงื่อนไขผลบวกให้แจกแจงตรงๆเพราะตัวเลือกน้อย⚠️จุดที่เด็กมักผิดตอนนับYมักลืมว่าทุกเซตต้องมี1อยู่แล้วทำให้บวกผลรวมผิดหรือลืมว่า\123\ผลบวก6พอดีรับได้แต่\124\เกินตัดออก
chap-01-set-q39,chap-01-set,mc,0,$18 \leq x < 21$,🔴 ไม่เจอเลย,24,"คที่ใช้แปลงทุกค่าเป็นนิพจน์ของxyแล้วใช้สูตรยูเนียนตั้งสมการเดียวจากนั้นกำจัดตัวแปรด้วยเงื่อนไขy-x=20เหลือสมการตัวแปรเดียว⚠️จุดที่เด็กมักผิดมักลืมว่าค่า""คู่ใดๆ=y""มี3คู่ต้องลบ3yและพลาดเครื่องหมายตอนกระจาย-3x+20ทำให้ได้xผิด"
chap-01-set-q74,chap-01-set,mc,1,แผนภาพที่ 2,🔴 ไม่เจอเลย,23,วนคี่1หรือ3ให้แรเงา'จะเร็วกว่าทำทีละขั้นเพราะ\triangleเปลี่ยนหมู่ได้⚠️จุดที่เด็กมักผิดมักลืมแรเงาส่วนกลางจA\capB\capCเพราะคิดว่าส่วนซ้อนต้องไม่แรเงาแต่ตรงกลางอยู่ครบ3เซตจำนวนคี่จึงต้องแรเงาและมักแรเงาส่วนซ้อนสองเซตขงฉผิด
chap-02-logic-q102,chap-02-logic,fill,"'~f, b'","~f, b",🔴 ไม่เจอเลย,29,กกับd\veefเติม\simfและcontrapositiveของเหตุ2เพื่อได้aแล้วเติมbเพื่อตัด\simb⚠️จุดที่เด็กมักผิด1เติมfแทน\simfทำให้ตัดdไม่ได้2ลืมใช้contrapositive\sima\to\simd\equivd\toaจึงไปจากdถึงaไม่ได้3ลืมเติมbเพื่อตัด\simbใน\simb\veec
chap-02-logic-q107,chap-02-logic,mc,2,$\exists x[(p(x) \vee r(x)) \rightarrow \sim q(x)]$,🔴 ไม่เจอเลย,37,่อนสังเกตx^2+1>0ตัดทิ้งได้ทันทีในr\existsหาตัวจริงเพียงตัวเดียว\forallหาตัวค้านเพียงตัวเดียว⚠️จุดที่เด็กมักผิด1คิดว่า\sinxเป็นองศาจริงๆเป็นเรเดียน2ลืมว่า0หารด้วย5ลงตัวq0จริง3แก้rxผิดไม่เห็นว่าx^2+1\neq0จึงดูแค่x^2-5x+4=0
chap-02-logic-q108,chap-02-logic,mc,2,$\exists x[x^2 - x - 1 = 0] \rightarrow \forall x[x^2 - 4x + 4 > 0]$,🔴 ไม่เจอเลย,26,ริงด้วยดิสคริมิแนนต์และระวัง\forall[x-a^2>0]เท็จเสมอเพราะที่x=aได้0⚠️จุดที่เด็กมักผิด1ตัวเลือก3ลืมว่าx-2^2=0ที่x=2ทำให้\forall[\dots>0]เท็จ2ตัวเลือก4ไม่ตรวจดิสคริมิแนนต์จึงไม่เห็นว่าเหตุเท็จF\toจริง3ตัวเลือก2หารากร่วมผิด
chap-02-logic-q110,chap-02-logic,mc,3,$\forall x[(x - 5)|x| < 0]$,🔴 ไม่เจอเลย,51,มายของผลคูณsignanalysisแทนการแทนค่าเพราะครอบคลุมทุกตัวพร้อมกัน⚠️จุดที่เด็กมักผิดเด็กมักลืมว่าต้องหาเซตAก่อนแล้วค่อยใช้เป็นเอกภพไม่ใช่ตรวจตัวเลือกบนจำนวนจริงทั้งหมดและมักลืมแยกกรณีค่าสัมบูรณ์ให้ครบทั้ง3ช่วงทำให้ได้เซตAผิด
chap-02-logic-q114,chap-02-logic,mc,2,$\forall x \exists y[(x - y)^3 = x^3 - y^3]\;;\;\mathcal{U} = \mathbb{,🔴 ไม่เจอเลย,26,บทุกตัวที่ตามมา⚠️จุดที่เด็กมักผิดจุดพลาดที่สุดคือสลับความหมายของลำดับตัวบ่งปริมาณ—\existsy\forallxyคงที่ตัวเดียวต่างจาก\forallx\existsyyเปลี่ยนตามxได้อย่างสิ้นเชิงในตัวเลือก4ถ้าเผลออ่านเป็น\forallx\existsyจะตอบผิดว่าจริง
chap-02-logic-q115,chap-02-logic,mc,3,นิเสธของ $\forall x(x < 0 \rightarrow x^3 < 0)$ คือ $\exists x(x < 0$ ,🔴 ไม่เจอเลย,28,"e\simQ—จำว่านิเสธเงื่อนไข""ไม่ใช่""การกลับเป็นเงื่อนไขอีกอัน⚠️จุดที่เด็กมักผิดข้อผิดยอดฮิตคือ1ลืมเปลี่ยน\forall\to\existsเวลานิเสธเหมือนตัวเลือก3และ2นิเสธParrowQผิดเป็น\simParrow\simQหรือParrow\simQแทนที่จะเป็นP\wedge\simQ"
chap-02-logic-q119,chap-02-logic,fill,'essay',essay,🔴 ไม่เจอเลย,34,ธเงื่อนไข/เปลี่ยน=เป็น\neq⚠️จุดที่เด็กมักผิดจุดพลาดที่พบบ่อย:1นิเสธเงื่อนไขParrowQผิดเป็น\simParrow\simQแทนP\wedge\simQข้อค.2ลืมสลับตัวบ่งปริมาณทุกตัวมักสลับแค่ตัวแรก3ลืมว่านิเสธของ\wedgeเป็น\veeและนิเสธของ\veeเป็น\wedge
chap-02-logic-q121,chap-02-logic,mc,1,ก. ถูก และ ข. ผิด,🔴 ไม่เจอเลย,32,ละพจน์ของ\wedgeแล้วนิเสธตัวบ่งปริมาณและเงื่อนไขข้างใน⚠️จุดที่เด็กมักผิดจุดพลาดสำคัญในข้อข.คือนิเสธParrowQผิดเป็น\simParrow\simQซึ่งเป็นinverseไม่ใช่นิเสธที่ถูกต้องคือP\wedge\simQและมักลืมว่านิเสธของ\wedgeต้องกลายเป็น\vee
chap-02-logic-q122,chap-02-logic,mc,2,$\forall x \exists y[|x| < |y| \wedge x + y \leq 0]$,🔴 ไม่เจอเลย,31,ทิ้งได้⚠️จุดที่เด็กมักผิดจุดพลาดร้ายแรงคือสับสนระหว่างนิเสธP\wedge\simQกับcontrapositive\simQarrow\simP—contrapositiveสมมูลกับประพจน์เดิมเสมอจึงเป็นไปไม่ได้ที่จะเป็นนิเสธตัวเลือกที่ยังมีเครื่องหมายarrowอยู่มักไม่ใช่นิเสธ
chap-02-logic-q123,chap-02-logic,mc,3,"การอ้างเหตุผลข้างล่างนี้สมเหตุสมผล

เหตุ:
(1) $p \rightarrow (q \right",🔴 ไม่เจอเลย,35,ปรทีละขั้นModusPonens:ถ้าAจริงและAarrowBจริงแล้วBจริงถ้าได้ผลจริงทุกครั้งคือสมเหตุสมผล⚠️จุดที่เด็กมักผิดในตัวเลือก3เด็กมักนิเสธPในเงื่อนไขด้วยเปลี่ยนx+y0ทั้งที่นิเสธของParrowQคือP\wedge\simQ—ต้องคงPไว้นิเสธเฉพาะQเท่านั้น
chap-02-logic-q126,chap-02-logic,mc,3,ข้อ ก. ไม่สมเหตุสมผล แต่ข้อ ข. สมเหตุสมผล,🔴 ไม่เจอเลย,40,"ธ์ที่มักดูสมเหตุสมผลแต่จริงๆไม่ใช่⚠️จุดที่เด็กมักผิดเด็กมักหลงคิดว่าข้อก.สมเหตุสมผลเพราะ""ฟังดูเข้าท่า""—แต่การที่รัฐภูมิฉลาดไม่ได้แปลว่าต้องเรียนเก่งคนฉลาดอาจไม่ได้เรียนเก่งก็ได้นี่คือกับดัก""สมมติผลลัพธ์""ที่พบบ่อยในข้อสอบ"
chap-02-logic-q127,chap-02-logic,mc,1,$A$ และ $B$ เป็นคนที่พูดโกหกเสมอ,🔴 ไม่เจอเลย,40,"วามขัดแย้งหรือไม่—กรณีที่ไม่ขัดแย้งเลยคือคำตอบ⚠️จุดที่เด็กมักผิดเด็กมักลืมว่าต้องตรวจทั้งคำพูดทุกคนให้สอดคล้องกับประเภทที่สมมติไม่ใช่แค่คนเดียวและมักสับสนว่า""คนพูดเท็จพูดเรื่องเท็จ""คือสภาพปกติที่สอดคล้องไม่ใช่ความขัดแย้ง"
chap-02-logic-q37,chap-02-logic,mc,0,ก. และ ข. สมเหตุสมผล,🔴 ไม่เจอเลย,36,ตัดออกต่อกันจนได้\simq⚠️จุดที่เด็กมักผิดข้อก.เหตุขัดแย้งกันเองrทั้งจริงและเท็จเด็กบางคนคิดว่าเมื่อเหตุขัดแย้งจะสรุปอะไรก็ได้แต่ในการสอบระดับนี้ยึดวิธีลากเหตุไปหาผลเมื่อลากไม่ถึงpตัวแปรใหม่จึงตอบว่าไม่สมเหตุสมผลตามแนวเฉลย
chap-02-logic-q45,chap-02-logic,mc,3,"$\forall x [\, x + x = x^2 \,]$ เป็นเท็จ เพราะ $\exists x [\, x + x $ ",🔴 ไม่เจอเลย,22,sของนิเสธจริง⚠️จุดที่เด็กมักผิดเด็กมักสับสนว่า'มีตัวอย่างที่จริง'ทำให้\forallจริงตัวเลือก13หลอกตรงนี้แต่ความจริง\forallต้องจริงทุกตัวการมีตัวอย่างจริงแค่บางตัวไม่พอตรงข้ามการมีตัวอย่างค้านแค่ตัวเดียวก็ทำให้\forallเท็จได้
chap-02-logic-q50,chap-02-logic,mc,2,"$\exists x \forall y [\, (xy = 0 \wedge x $ ≠ $ 0) \wedge y $ ≠ $ 0 \,",🔴 ไม่เจอเลย,27,C\wedge\simD⚠️จุดที่เด็กมักผิดจุดพลาดสุด:นิเสธของC\toDคือC\wedge\simDไม่ใช่\simC\vee\simDหรือ\simC\to\simDตัวเลือกอื่นจงใจใส่\veeหรือสลับ=/\neqผิดเพื่อหลอกต้องคงเงื่อนไขC=xy=0\wedgex\neq0ไว้เหมือนเดิมแล้วเติม\wedgey\neq0
chap-02-logic-q51,chap-02-logic,mc,3,"$\forall x \exists y [\, (xy < 0) \wedge (x \geq 0 \wedge y \geq 0) \,",🔴 ไม่เจอเลย,24,rallทุกตัวตามลำดับ→นิเสธเงื่อนไขด้วย\simC\toD\equivC\wedge\simD→กระจายDeMorgan⚠️จุดที่เด็กมักผิด1ลืมสลับตัวบ่งปริมาณหรือสลับไม่ครบ2นิเสธC\toDผิดเป็น\simC\vee\simDหรือคง\toไว้ตัวเลือก13จงใจคง\vee3นิเสธx0แทนที่จะเป็นx\geq0
chap-02-logic-q57,chap-02-logic,mc,1,"ประโยค ""ถ้าเขียน $\sqrt{3}$ ให้อยู่ในรูปทศนิยมแล้ว จะได้ทศนิยมตำแหน่งท",🔴 ไม่เจอเลย,20,"าความจริงตายตัว=ประพจน์แม้คำนวณไม่ได้ทันทีมีตัวแปรค้าง=ประโยคเปิด⚠️จุดที่เด็กมักผิดเข้าใจผิดว่า""คำนวณค่าไม่ได้ทันที=ไม่เป็นประพจน์""—ผิด!ตราบใดที่ค่าความจริงตายตัวเช่นทศนิยมตำแหน่งที่50ของ\sqrt3มีค่าแน่นอนก็ยังเป็นประพจน์"
chap-02-logic-q59,chap-02-logic,mc,3,ประพจน์ A และประพจน์ C เท่านั้นที่มีค่าความจริงเป็นเท็จ,🔴 ไม่เจอเลย,43,"""\forall=จริงทุกตัว\exists=จริงอย่างน้อยหนึ่ง""+กฎเหตุเท็จ⚠️จุดที่เด็กมักผิด1ลืมตรวจx=0ที่\frac40ไม่นิยามทำให้Aพลาดว่าจริง2Q0Q-1เป็นค่าคงที่แทนxเฉพาะไม่ใช่ตัวแปร3\frac4xต้องเป็นจำนวนเต็มคู่—\frac43ไม่ใช่จำนวนเต็มจึงไม่คู่"
chap-02-logic-q63,chap-02-logic,mc,2,"$\exists x [\, |x + 2| < 2 - x \,]$",🔴 ไม่เจอเลย,25,า1ตัวที่จริงส่วน\forallลองหาตัวค้านที่ขอบเอกภพ⚠️จุดที่เด็กมักผิด1หาเอกภพผิด—|x-1|\leq2คือ[-13]ไม่ใช่[-22]2ตัวเลือก12พลาดที่ขอบx=3หรือx=-1ทำให้\forallเท็จ3ตัวเลือก4ลืมว่าเอกภพจำกัดที่x\leq3ทำให้\sqrtx>2ต้องx>4เป็นไปไม่ได้
chap-02-logic-q64,chap-02-logic,mc,1,"กำหนดให้ ประพจน์ $p$ มีค่าความจริงเป็นจริง, ประพจน์ $q$ มีค่าความจริงเ",🔴 ไม่เจอเลย,22,"ปรrไม่ถูกกำหนด—ถ้าค่าความจริงขึ้นกับตัวที่ไม่ระบุการอ้างว่า""จริงเสมอ""จะผิด⚠️จุดที่เด็กมักผิด1ตัวเลือก2มองข้ามว่าrไม่ถูกกำหนด—เมื่อ""จริงrightarrowr""ค่าขึ้นกับrไม่ใช่จริงเสมอ2ตัวเลือก4ลืมว่าจำนวนนับx\geq1ทำให้\frac2x>0เสมอ"
chap-02-logic-q65,chap-02-logic,mc,3,"$\exists x [\, x^3 + 5x - 1 < 4 \,] \wedge \forall x [\, |x^2 - 1| < 0",🔴 ไม่เจอเลย,19,"แรกมีx=0ที่จริง;ส่วนสองเหตุ|x^2-1|✅คำตอบ:ตัวเลือก4💡เทคนิคที่ใช้จับ""เหตุที่เป็นไปไม่ได้""|A|⚠️จุดที่เด็กมักผิด1ไม่สังเกตว่า|x^2-1|<0เป็นไปไม่ได้ค่าสัมบูรณ์ไม่เป็นลบเลยไปคำนวณส่วนผลโดยไม่จำเป็น2ลืมว่า\existsแค่หา1ตัวx=0ก็พอ"
