id,ชุด,type,correct,เหตุผล,ธง,บรรทัดคำตอบในเฉลย (200 ตัว)
chap-03-realnumber-q188,chap-03-realnumber,fill,"{6, 7, 24, 43}","ไม่พบค่า {6, 7, 24, 43} ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $n \in \{6, 7, 24, 43\}$ (4 ค่า)"
chap-03-realnumber-q26,chap-03-realnumber,mc,3,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $x = 3$
chap-03-realnumber-q46,chap-03-realnumber,mc,2,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $a^{2} < c$
chap-03-realnumber-q59,chap-03-realnumber,mc,2,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $x 
chap-03-realnumber-q60,chap-03-realnumber,mc,2,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $\{x > 0$
chap-04-coord-q146,chap-04-coord,fill,"(7,0) หรือ (-1,8)","ไม่พบค่า (7,0) หรือ (-1,8) ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $(7, 0)$ หรือ $(-1, 8)$"
chap-04-coord-q169,chap-04-coord,fill,"จุดยอด (11/2, -7/2); สมการ x^2+y^2-2xy-46x-10y+137=0","ไม่พบค่า จุดยอด (11/2, -7/2); สมการ x^2+y^2-2xy-46x-10y+137=0 ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: จุดยอด $\left(\dfrac{11}{2}, -\dfrac{7}{2}\right)$ และสมการ $x^2 + y^2 - 2xy - 46x - 10y + 137 = 0$"
chap-04-coord-q173,chap-04-coord,fill,5√13,ไม่พบค่า 5√13 ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $5\sqrt{13}$
chap-04-coord-q174,chap-04-coord,fill,96+16√2+5√(33-16√2),ไม่พบค่า 96+16√2+5√(33-16√2) ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $96 + 16\sqrt{2} + 5\sqrt{33 - 16\sqrt{2}}$
chap-04-coord-q194,chap-04-coord,fill,15/√13,ไม่พบค่า 15/√13 ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $\dfrac{15}{\sqrt{13}}$ หน่วย (= $\dfrac{15\sqrt{13}}{13}$)
chap-04-coord-q195,chap-04-coord,fill,"(√15/4, 15/8) และ (-√15/4, 15/8)","ไม่พบค่า (√15/4, 15/8) และ (-√15/4, 15/8) ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: จุดสัมผัสคือ $\left(\dfrac{\sqrt{15}}{4}, \dfrac{15}{8}\right)$"
chap-04-coord-q198,chap-04-coord,fill,(x-4)^2/12+(y+2)^2/16=1,ไม่พบค่า (x-4)^2/12+(y+2)^2/16=1 ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $\dfrac{(x - 4)^2}{12} + \dfrac{(y + 2)^2}{16} = 1$
chap-04-coord-q202,chap-04-coord,fill,(x-4)^2/4+(y-1)^2/9=1,ไม่พบค่า (x-4)^2/4+(y-1)^2/9=1 ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $\dfrac{(x - 4)^2}{4} + \dfrac{(y - 1)^2}{9} = 1$
chap-04-coord-q207,chap-04-coord,fill,3(y-1)^2=16(x+1) และ 3(y-1)^2=-16(x-5),ไม่พบค่า 3(y-1)^2=16(x+1) และ 3(y-1)^2=-16(x-5) ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $3(y - 1)^2 = 16(x + 1)$
chap-04-coord-q211,chap-04-coord,fill,√7,ไม่พบค่า √7 ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $\sqrt{7}$ หน่วย
chap-04-coord-q225,chap-04-coord,fill,(x-3)^2/25+(y-2)^2/9=1,ไม่พบค่า (x-3)^2/25+(y-2)^2/9=1 ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $\dfrac{(x - 3)^2}{25} + \dfrac{(y - 2)^2}{9} = 1$
chap-04-coord-q226,chap-04-coord,fill,"ศูนย์กลาง (1,2); โฟกัส (1, 2±√5); E: (x-1)^2/1+(y-2)^2/6=1 แกนเอกยาว 2√6; วงกลม (x-1)^2+(y-2)^2=1","ไม่พบค่า ศูนย์กลาง (1,2); โฟกัส (1, 2±√5); E: (x-1)^2/1+(y-2)^2/6=1 แกนเอกยาว 2√6; วงกลม (x-1)^2+(y-2)^2=1 ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: ศูนย์กลาง H คือ $(1, 2)$, โฟกัส $(1, 2 \pm \sqrt{5})$ | E: $(x - 1)^2 + \dfrac{(y - 2)^2}{6} = 1$, แกนเอกยาว $2\sqrt{6}$ | วงกลม: $(x - 1)^2 + (y - 2)^2 = 1$"
chap-04-coord-q229,chap-04-coord,fill,"H: (y-2)^2/1-(x+1)^2/5=1; k ∈ (-∞, -1/√6] ∪ [1/√6, ∞)","ไม่พบค่า H: (y-2)^2/1-(x+1)^2/5=1; k ∈ (-∞, -1/√6] ∪ [1/√6, ∞) ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,✅ คำตอบ: H: $(y - 2)^2 - \dfrac{(x + 1)^2}{5} = 1$
chap-04-coord-q39,chap-04-coord,mc,3,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $y = -2x$
chap-05-function-q135,chap-05-function,fill,2625,ไม่พบค่า 2625 ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,"✅ คำตอบ: 2,625 หน้า (พิมพ์ตั้งแต่ 2,625 หน้าขึ้นไปจึงคุ้ม)"
chap-05-function-q147,chap-05-function,fill,"{(3, 3), (3, 12), (0, 36)}","ไม่พบค่า {(3, 3), (3, 12), (0, 36)} ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $r^{-1} = \{ (3, 3), (3, 12), (0, 36) \}$"
chap-05-function-q15,chap-05-function,mc,2,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $D_{r^{-1}} = \mathbb{R}$
chap-05-function-q159,chap-05-function,fill,"$R_{r_1} = [-2, 2]$, $R_{r_2} = [-1, \infty)$, $D_{r^{-1}} = [-1, 2]$","ไม่พบค่า $R_{r_1} = [-2, 2]$, $R_{r_2} = [-1, \infty)$, $D_{r^{-1}} = [-1, 2]$ ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $R_{r_1} = [-2, 2]$, $R_{r_2} = [-1, \infty)$"
chap-05-function-q16,chap-05-function,mc,3,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,"✅ คำตอบ: $D_f = \{ x \ne \pm 1 \}$, $R_f = \{ x \le -2$"
chap-05-function-q165,chap-05-function,fill,"{(a, 1)}, {(b, 1)}, {(c, 2)}, {(a, 1), (c, 2)}, {(b, 1), (c, 2)}","ไม่พบค่า {(a, 1)}, {(b, 1)}, {(c, 2)}, {(a, 1), (c, 2)}, {(b, 1), (c, 2)} ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $\{(a, 1)\}$, $\{(b, 1)\}$, $\{(c, 2)\}$, $\{(a, 1), (c, 2)\}$, $\{(b, 1), (c, 2)\}$ (รวม 5 ฟังก์ชัน)"
chap-05-function-q169,chap-05-function,fill,"{(1, 3), (2, 4), (3, 1), (4, 2)}","ไม่พบค่า {(1, 3), (2, 4), (3, 1), (4, 2)} ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $g = \{ (1, 3), (2, 4), (3, 1), (4, 2) \}$"
chap-05-function-q172,chap-05-function,fill,$x^4 + x^2 - 3$,ไม่พบค่า $x^4 + x^2 - 3$ ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $f(x^2 - 1) = x^4 + x^2 - 3$
chap-05-function-q174,chap-05-function,fill,"{-4, 0, 2}","ไม่พบค่า {-4, 0, 2} ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $H = \{ -4, 0, 2 \}$"
chap-05-function-q179,chap-05-function,fill,$\sqrt{2x^2 + 4}$,ไม่พบค่า $\sqrt{2x^2 + 4}$ ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $f \circ g(x) = \sqrt{2x^2 + 4}$
chap-05-function-q183,chap-05-function,fill,$\dfrac{x}{2} + y + \dfrac{5}{2}$,ไม่พบค่า $\dfrac{x}{2} + y + \dfrac{5}{2}$ ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $g(x + f(y)) = \dfrac{x}{2} + y + \dfrac{5}{2}$
chap-05-function-q190,chap-05-function,fill,-29/3,ไม่พบค่า -29/3 ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $f(5) = -\dfrac{29}{3}$
chap-05-function-q200,chap-05-function,fill,"{7, 34, 148}","ไม่พบค่า {7, 34, 148} ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $\{7, 34, 148\}$"
chap-05-function-q201,chap-05-function,fill,"0, 2, -2","ไม่พบค่า 0, 2, -2 ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $f(0) = 0$, $f(1) = 2$, $f(-1) = -2$"
chap-06-matrix-q01,chap-06-matrix,mc,2,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $a_{12} = -a_{21}$
chap-06-matrix-q10,chap-06-matrix,mc,2,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,"✅ คำตอบ: $a = 1, b = 3$"
chap-06-matrix-q106,chap-06-matrix,fill,±2176,ไม่พบค่า ±2176 ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $\pm 2176$
chap-06-matrix-q108,chap-06-matrix,fill,-1/8,ไม่พบค่า -1/8 ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $-\dfrac{1}{8}$
chap-06-matrix-q115,chap-06-matrix,fill,"(0, sqrt(2)/2, sqrt(2)/2)","ไม่พบค่า (0, sqrt(2)/2, sqrt(2)/2) ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,✅ คำตอบ: $\begin{bmatrix} x \\ y \\ z \end{bmatrix} = \pm\begin{bmatrix} 0 \\ \sqrt{2}/2 \\ \sqrt{2}/2 \end{bmatrix}$
chap-06-matrix-q122,chap-06-matrix,fill,"[[-1,-4,4],[-1,-5/2,3],[1,3,-3]]","ไม่พบค่า [[-1,-4,4],[-1,-5/2,3],[1,3,-3]] ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,✅ คำตอบ: $A^{-1} = \begin{bmatrix} -1 & -4 & 4 \\ -1 & -5/2 & 3 \\ 1 & 3 & -3 \end{bmatrix}$
chap-06-matrix-q128,chap-06-matrix,fill,"[[2/3,-1],[1/3,1/3]]","ไม่พบค่า [[2/3,-1],[1/3,1/3]] ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,✅ คำตอบ: $B = \begin{bmatrix} 2/3 & -1 \\ 1/3 & 1/3 \end{bmatrix}$
chap-06-matrix-q133,chap-06-matrix,fill,"x=2, y=3, z=1, det(adj C)=3364","ไม่พบค่า x=2, y=3, z=1, det(adj C)=3364 ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,✅ คำตอบ:
chap-06-matrix-q134,chap-06-matrix,fill,"A=[[1,1,1],[-1,2,-1],[0,3,-1]], X=[0,1,0]","ไม่พบค่า A=[[1,1,1],[-1,2,-1],[0,3,-1]], X=[0,1,0] ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,✅ คำตอบ: $A = \begin{bmatrix} 1 & 1 & 1 \\ -1 & 2 & -1 \\ 0 & 3 & -1 \end{bmatrix}$
chap-06-matrix-q145,chap-06-matrix,fill,-2/3,ไม่พบค่า -2/3 ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $-\dfrac{2}{3}$
chap-06-matrix-q149,chap-06-matrix,fill,คำตอบเดียว: k≠2 และ k≠-2; ไม่มีคำตอบ: k=2 หรือ k=-2; ไม่มีกรณีหลายคำตอบ,ไม่พบค่า คำตอบเดียว: k≠2 และ k≠-2; ไม่มีคำตอบ: k=2 หรือ k=-2; ไม่มีกรณีหลายคำตอบ ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: คำตอบเดียวเมื่อ $k \ne 2$
chap-06-matrix-q151,chap-06-matrix,fill,e^(-5525),ไม่พบค่า e^(-5525) ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $\det(C) = e^{-5525}$
chap-06-matrix-q79,chap-06-matrix,mc,2,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $9 \le x 
chap-07-trigonometry-q130,chap-07-trigonometry,fill,"a = -0.3, b ≈ 0.95","ไม่พบค่า a = -0.3, b ≈ 0.95 ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,✅ คำตอบ: $a = -0.3$
chap-07-trigonometry-q157,chap-07-trigonometry,fill,"$c = 2\sqrt{2},\ \alpha = \dfrac{5\pi}{4}$","ไม่พบค่า $c = 2\sqrt{2},\ \alpha = \dfrac{5\pi}{4}$ ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,✅ คำตอบ: $c = 2\sqrt{2}$
chap-07-trigonometry-q158,chap-07-trigonometry,fill,$\dfrac{3\sqrt{7} - 1}{8}$,ไม่พบค่า $\dfrac{3\sqrt{7} - 1}{8}$ ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $\dfrac{3\sqrt{7} - 1}{8} \approx 0.87$
chap-07-trigonometry-q161,chap-07-trigonometry,fill,"$\tan\dfrac{\theta}{2} = \dfrac{1}{2},\ \sin\dfrac{\theta}{2} = \dfrac{1}{\sqrt{5}}$ หรือ $\tan\dfrac{\theta}{2} = -2,\ \sin\dfrac{\theta}{2} = \dfrac{2}{\sqrt{5}}$","ไม่พบค่า $\tan\dfrac{\theta}{2} = \dfrac{1}{2},\ \sin\dfrac{\theta}{2} = \dfrac{1}{\sqrt{5}}$ หรือ $\tan\dfrac{\theta}{2} = -2,\ \sin\dfrac{\theta}{2} = \dfrac{2}{\sqrt{5}}$ ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $\tan\dfrac{\theta}{2} = \dfrac{1}{2}, \sin\dfrac{\theta}{2} = \dfrac{1}{\sqrt{5}}$"
chap-07-trigonometry-q179,chap-07-trigonometry,fill,"$(x, y) = (0, 0),\ \left(\dfrac{\pi}{2}, \dfrac{\pi}{2}\right),\ (\pi, \pi),\ (0, \pi),\ (\pi, 0)$","ไม่พบค่า $(x, y) = (0, 0),\ \left(\dfrac{\pi}{2}, \dfrac{\pi}{2}\right),\ (\pi, \pi),\ (0, \pi),\ (\pi, 0)$ ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $(x, y) = (0, 0), \left(\dfrac{\pi}{2}, \dfrac{\pi}{2}\right), (\pi, \pi), (0, \pi), (\pi, 0)$ รวม 5 คู่อันดับ"
chap-07-trigonometry-q181,chap-07-trigonometry,fill,"$x = -1,\ y = \dfrac{(2n + 1)\pi}{4} + 1$ เมื่อ $n$ เป็นจำนวนเต็มใด ๆ","ไม่พบค่า $x = -1,\ y = \dfrac{(2n + 1)\pi}{4} + 1$ เมื่อ $n$ เป็นจำนวนเต็มใด ๆ ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,✅ คำตอบ: $x = -1$
chap-07-trigonometry-q195,chap-07-trigonometry,fill,$x = \dfrac{\pi}{6}$ หรือ $x = \dfrac{5\pi}{6}$,ไม่พบค่า $x = \dfrac{\pi}{6}$ หรือ $x = \dfrac{5\pi}{6}$ ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $x = \dfrac{\pi}{6}$
chap-07-trigonometry-q196,chap-07-trigonometry,fill,$\dfrac{\sqrt{3}}{2}$,ไม่พบค่า $\dfrac{\sqrt{3}}{2}$ ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $A = \left\{\dfrac{\sqrt{3}}{2}\right\}$ ผลบวกของสมาชิก $= \dfrac{\sqrt{3}}{2}$
chap-07-trigonometry-q197,chap-07-trigonometry,mc,3,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $A = \{0\}$
chap-07-trigonometry-q198,chap-07-trigonometry,fill,"$\left\{\dfrac{1}{2}, \dfrac{\pi}{6}\right\}$","ไม่พบค่า $\left\{\dfrac{1}{2}, \dfrac{\pi}{6}\right\}$ ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $C \cup D = \left\{\dfrac{1}{2}, \dfrac{\pi}{6}\right\}$"
chap-07-trigonometry-q201,chap-07-trigonometry,fill,$100\sqrt{6 + 4\sqrt{3}}$ เมตร,ไม่พบค่า $100\sqrt{6 + 4\sqrt{3}}$ เมตร ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: ความสูงพีระมิด $= 100\sqrt{6 + 4\sqrt{3}}$ เมตร ($\approx 359.56$ เมตร)
chap-07-trigonometry-q214,chap-07-trigonometry,fill,$\dfrac{3\sqrt{3}}{2}r^2$ ตารางหน่วย,ไม่พบค่า $\dfrac{3\sqrt{3}}{2}r^2$ ตารางหน่วย ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $\dfrac{3\sqrt{3}}{2}r^2 \approx 2.6r^2$ ตารางหน่วย
chap-07-trigonometry-q220,chap-07-trigonometry,fill,$\dfrac{1}{3}$,ไม่พบค่า $\dfrac{1}{3}$ ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $\cos A = \dfrac{1}{3}$
chap-07-trigonometry-q224,chap-07-trigonometry,fill,$20\sqrt{13 + 6\sqrt{2}} \approx 92.70$ เมตร,ไม่พบค่า $20\sqrt{13 + 6\sqrt{2}} \approx 92.70$ เมตร ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $OC = 20\sqrt{13 + 6\sqrt{2}} \approx 92.70$ เมตร
chap-07-trigonometry-q225,chap-07-trigonometry,fill,$76$,ไม่พบค่า $76$ ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $x^2 = 76$
chap-07-trigonometry-q227,chap-07-trigonometry,fill,"พื้นที่ $= 3 + \sqrt{3}$ ตารางหน่วย, $BD = \sqrt{6}$, $AC = \sqrt{10 + 4\sqrt{3}}$","ไม่พบค่า พื้นที่ $= 3 + \sqrt{3}$ ตารางหน่วย, $BD = \sqrt{6}$, $AC = \sqrt{10 + 4\sqrt{3}}$ ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,✅ คำตอบ: พื้นที่ $= 3 + \sqrt{3} \approx 4.73$ ตารางหน่วย
chap-07-trigonometry-q63,chap-07-trigonometry,mc,0,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: $0 \le x \le \pi$
chap-08-explog-q08,chap-08-explog,mc,1,บรรทัดคำตอบไม่ระบุเลขตัวเลือก,🟠 ตรวจด้วยตา,✅ คำตอบ: ระบบ $x - y = 0$
chap-08-explog-q119,chap-08-explog,fill,"[1, ∞)","ไม่พบค่า [1, ∞) ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $[1, \infty)$"
chap-08-explog-q129,chap-08-explog,fill,"[−1, 1]","ไม่พบค่า [−1, 1] ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $[-1, 1]$"
chap-08-explog-q132,chap-08-explog,fill,"{0, 3}","ไม่พบค่า {0, 3} ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $A = \{ 0, 3 \}$"
chap-08-explog-q135,chap-08-explog,fill,"{−√2, √2, 1/2, 1/a}","ไม่พบค่า {−√2, √2, 1/2, 1/a} ในบรรทัดคำตอบ",🟠 ตรวจด้วยตา,"✅ คำตอบ: $A \cup B = \left\{ -\sqrt{2}, \sqrt{2}, \dfrac{1}{2}, \dfrac{1}{a} \right\}$"
chap-08-explog-q138,chap-08-explog,fill,15a^((3p+q)/5)/(2p−q),ไม่พบค่า 15a^((3p+q)/5)/(2p−q) ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,"✅ คำตอบ: $\dfrac{15\,a^{(3p+q)/5}}{2p - q}$"
chap-08-explog-q141,chap-08-explog,fill,1/x²,ไม่พบค่า 1/x² ในบรรทัดคำตอบ,🟠 ตรวจด้วยตา,✅ คำตอบ: $\dfrac{1}{x^2}$
