id,ชุด,ชนิด,มีตาราง,มีรูป,correct,หัวโจทย์ 110 ตัวอักษร
alvl1-2566-03-q26,alvl1-2566-03,fill,,มี,65,"กำหนด $U$ แทนเอกภพสัมพัทธ์ และ $A, B$ เป็นสับเซตของ $U$ โดยที่ $n(U) = 100$, $n(A \cap B) = 35$ และ $n(A' \cap"
alvl1-2566-03-q27,alvl1-2566-03,fill,,มี,480,รูปสี่เหลี่ยมมุมฉากรูปหนึ่งมีการแบ่งพื้นที่ออกเป็น $4$ ส่วน ดังรูป ถ้ามีสีอยู่ $6$ สี และต้องการระบายสีรูปสี่เ
alvl1-2566-03-q28,alvl1-2566-03,fill,,มี,8.96,"ข้อมูลการผลิตเหล็กเส้นของโรงงานแห่งหนึ่งเป็นดังนี้  ""น้ำหนักของเหล็กเส้นที่ผลิตได้มีการแจกแจงปกติ โดยมีน้ำหนัก"
alvl1-2566-03-q29,alvl1-2566-03,fill,,มี,0.75,วงกลม $(x-1)^2 + (y-2)^2 = 1$ มีเส้นสัมผัสที่ผ่านจุดกำเนิด $2$ เส้น คือแกน Y และเส้นตรง L ความชันของเส้นตรง L 
alvl1-2567-03-q03,alvl1-2567-03,mc,,มี,0,"กำหนดให้ $z$ เป็นจำนวนเชิงซ้อน, $\text{Re}(z) > 0$ และ $\text{Im}(z) > 0$ ถ้า $z^6 + 1 = 0$ แล้วค่าของ $z^4 + "
alvl1-2567-03-q04,alvl1-2567-03,mc,,มี,2,ถ้า $z$ เป็นจำนวนเชิงซ้อน แล้วข้อใดสอดคล้องกับเงื่อนไข $|z| = \sqrt{3}$ และ $|z - i| < 1$
alvl1-2567-03-q06,alvl1-2567-03,mc,,มี,0,"กำหนดให้ $A, B, C$ เป็นเซต ซึ่ง $C \subset (A - B)$, $n(A) = 2 \cdot n(B \cup C)$, $n[(A \cap B) \cup C] = 7$ "
alvl1-2567-03-q07,alvl1-2567-03,mc,,มี,1,เซตคำตอบของอสมการ $\log_{0.01}(x - 1) < \log_{0.0001}(x - 1)$ เป็นสับเซตของเซตในข้อใด
alvl1-2567-03-q11,alvl1-2567-03,mc,,มี,2,กำหนดให้ $f$ เป็นฟังก์ชันพหุนามกำลังสองที่มีค่าต่ำสุดเป็น $-18$ ถ้าเส้นตรง $4x + y + 12 = 0$ สัมผัสเส้นโค้ง $y
alvl1-2567-03-q19,alvl1-2567-03,mc,,มี,4,"กำหนดให้ $f$ เป็นฟังก์ชันที่มีกราฟดังรูป (กราฟ $y = f(x)$ ผ่านจุด $(0, 5)$, $(2, 0)$ และ $(4, -2)$ มีลักษณะเป็"
alvl1-2567-03-q20,alvl1-2567-03,mc,,มี,1,จากสมการ $9x^2 + 18x - 16y^2 + 160y - 247 = 0$ จะได้กราฟตามข้อใด
alvl1-2567-03-q23,alvl1-2567-03,mc,,มี,1,"กำหนดให้ $\vec{u} = \begin{bmatrix} -1 \\ 0 \\ 1 \end{bmatrix}$, $\vec{v} = \begin{bmatrix} 1 \\ 1 \\ a \end{b"
alvl1-2567-03-q26,alvl1-2567-03,fill,,มี,68,ช่างไม้คนหนึ่งมีแผ่นไม้เป็นรูปสี่เหลี่ยมผืนผ้า ความกว้าง 24 เซนติเมตร และความยาว $20\sqrt{13}$ เซนติเมตร ถ้าต้
alvl1-2567-03-q30,alvl1-2567-03,fill,มี,มี,11.25,ในช่วงฤดูฝนของหมู่บ้านแห่งหนึ่ง ปริมาณน้ำฝนรายวันเป็นไปตามการแจกแจงแบบปกติ ปริมาณน้ำฝนโดยเฉลี่ยเป็น $10.45$ มิ
alvl1-2568-03-v2-q04,alvl1-2568-03-v2,mc,,มี,3,สำนักข่าวออนไลน์แห่งหนึ่งมีบริการสำหรับสมาชิกรายเดือน โดยปัจจุบันค่าบริการรายเดือนอยู่ที่ $70$ บาทต่อคน และมีส
alvl1-2568-03-v2-q11,alvl1-2568-03-v2,mc,,มี,0,พิจารณาอสมการ $x^2 - 4x + 1 < 0$ ถ้า $a$ เป็นจำนวนเต็มที่น้อยที่สุดที่สอดคล้องกับอสมการดังกล่าว และ $b$ เป็นจำ
alvl1-2568-03-v2-q13,alvl1-2568-03-v2,mc,,มี,2,"ถ้า $ABC$ เป็นรูปสามเหลี่ยมที่มีพิกัดของ $A, B$ และ $C$ คือ $(7,\,6),\,(1,\,2)$ และ $(1,\,-2)$ ตามลำดับ แล้วส่"
alvl1-2568-03-v2-q14,alvl1-2568-03-v2,mc,,มี,1,"วงรีวงหนึ่ง มีจุด $P(0,\,0)$ และ $Q(10,\,0)$ เป็นจุดโฟกัส และมีจุด $R(15,\,0)$ เป็นจุดที่อยู่บนวงรี ถ้าวงรีวงน"
alvl1-2568-03-v2-q16,alvl1-2568-03-v2,mc,,มี,3,"ให้ $O$ เป็นจุดกำเนิดในระบบพิกัดฉากสามมิติ และให้ $A$ และ $B$ เป็นจุดที่มีพิกัดเป็น $(-3,\,1,\,0)$ และ $(t,\,-"
alvl1-2568-03-v2-q22,alvl1-2568-03-v2,mc,,มี,4,โรงงานแห่งหนึ่งผลิตน้ำผลไม้กล่องเพื่อจัดจำหน่าย โดยปริมาตรของน้ำผลไม้ในแต่ละกล่องมีการแจกแจงแบบปกติที่มีค่าเฉล
alvl1-2568-03-v2-q24,alvl1-2568-03-v2,mc,,มี,0,กำหนดกราฟของฟังก์ชัน $f$ และ $g$ ดังรูป พิจารณาข้อความต่อไปนี้ ก. $\displaystyle\lim_{x \to 1}\bigl(f(x) + g(x
alvl1-2568-03-v2-q25,alvl1-2568-03-v2,mc,,มี,2,ให้ $f$ เป็นฟังก์ชันที่มีกราฟและเส้นสัมผัสที่ $x = 1$ ดังรูป ค่าของ $f'(1)$ เท่ากับข้อใดต่อไปนี้
alvl1-2568-03-v2-q26,alvl1-2568-03-v2,fill,,มี,0.75,กำหนดให้รูปสามเหลี่ยม $ABC$ สอดคล้องกับสมการ $\dfrac{\sin A}{4} = \dfrac{\sin B}{5} = \dfrac{\sin C}{6}$ จงหาค
alvl1-2568-03-v2-q29,alvl1-2568-03-v2,fill,,มี,2,"กำหนดให้ $A, B, C$ เป็นเซต โดยที่ $n(A) = 40$, $n(A \cap B) = 27$, $n(A \cap C) = 21$ และ $n(A \cap B \cap C) "
alvl1-2569-03-q01,alvl1-2569-03,mc,,มี,0,โรงเรียนแห่งหนึ่ง มีนักเรียน 50 คน และมีชมรม 3 ชมรม ได้แก่ ชมรมคณิตศาสตร์ ชมรมหมากกระดาน และชมรมกรีฑา นักเรียน
alvl1-2569-03-q04,alvl1-2569-03,mc,,มี,3,ให้ $f$ และ $g$ เป็นฟังก์ชันที่มีกราฟดังรูป ถ้า $a$ และ $b$ เป็นจำนวนเต็มที่ทำให้ $g(x) = f(x + a) + b$ สำหรับ
alvl1-2569-03-q05,alvl1-2569-03,mc,,มี,4,ร้านขนมแห่งหนึ่งสังเกตว่า ปริมาณขนมที่ขายได้ในแต่ละวันขึ้นกับราคาของขนม หากขนมราคา 20 บาท จะขายได้ 100 ชิ้น แล
alvl1-2569-03-q06,alvl1-2569-03,mc,,มี,4,ให้ $f$ เป็นฟังก์ชันที่กำหนดโดย $f(x) = \sqrt{x^2 - 2x + 2}$ ข้อใดถูกต้องเกี่ยวกับโดเมน และเรนจ์ของ $f$
alvl1-2569-03-q07,alvl1-2569-03,mc,,มี,0,เซตของจำนวนจริง $x$ ทั้งหมด ที่ $0 < x < 1$ และสอดคล้องกับอสมการ $\log_{x}\!\left(2x - \dfrac{3}{4}\right) > 2
alvl1-2569-03-q11,alvl1-2569-03,mc,,มี,0,กราฟแสดงจำนวนเชิงซ้อน $z$ ทั้งหมดในระนาบเชิงซ้อนที่สอดคล้องกับอสมการ $\operatorname{Re}(z) < 2$ และ $|z - 3i +
alvl1-2569-03-q12,alvl1-2569-03,mc,,มี,4,กำหนดให้ $z = \cos\dfrac{2\pi}{5} + i\sin\dfrac{2\pi}{5}$ พิจารณาข้อความต่อไปนี้ (ก) $z \cdot \bar{z} = 1$ (ข)
alvl1-2569-03-q14,alvl1-2569-03,mc,,มี,3,ข้อใดต่อไปนี้เป็นกราฟของสมการ $y^2 - x^2 + 6x - 8 = 0$
alvl1-2569-03-q15,alvl1-2569-03,mc,,มี,2,ให้ $F_1$ และ $F_2$ เป็นโฟกัสของไฮเพอร์โบลา $\dfrac{(x+1)^2}{16} - \dfrac{(y+2)^2}{9} = 1$ ถ้าจุด $A$ มีพิกัดเ
alvl1-2569-03-q16,alvl1-2569-03,mc,,มี,1,วงกลมวงหนึ่งสัมผัสเส้นตรง $3x = 4y$ และแกน $Y$ ถ้าจุดศูนย์กลางของวงกลมอยู่ในจตุภาคที่หนึ่งและอยู่บนเส้นตรง $x 
alvl1-2569-03-q19,alvl1-2569-03,mc,มี,มี,1,อายุการใช้งานของหลอดไฟชนิดหนึ่งมีการแจกแจงปกติ โดยมีค่าเฉลี่ยและส่วนเบี่ยงเบนมาตรฐานเท่ากับ 2 และ 0.5 ต่อปี ตา
alvl1-2569-03-q25,alvl1-2569-03,mc,,มี,1,กำหนดกราฟของฟังก์ชัน $f$ ดังรูป ข้อความใดต่อไปนี้กล่าวถูกต้อง
alvl1-2569-03-q30,alvl1-2569-03,fill,,มี,3250,"ให้ $f$ เป็นฟังก์ชันที่มีเส้นสัมผัสเส้นโค้ง $y = f(x)$ ที่ $x = 0,\ x = 2,\ x = 3$ และ $x = 5$ แสดงดังในภาพ ถ้"
chap-01-set-q24,chap-01-set,mc,,มี,4,"ให้ $A, B$ และ $C$ เป็นเซตใดๆ ข้อความในข้อใดต่อไปนี้ถูก"
chap-01-set-q26,chap-01-set,mc,,มี,2,ข้อความใดต่อไปนี้เป็นจริง
chap-01-set-q32,chap-01-set,mc,,มี,2,สำหรับเซต $X$ ใดๆ ให้ $P(X)$ แทนเพาเวอร์เซตของ $X$ และ $n(X)$ แทนจำนวนสมาชิกของ $X$ ถ้า $A$ และ $B$ เป็นเซตซึ่
chap-01-set-q33,chap-01-set,mc,,มี,0,ข้อความใดต่อไปนี้ ที่สอดคล้องกับแผนภาพเวนน์ดังที่ให้ไว้ในรูป
chap-01-set-q35,chap-01-set,mc,,มี,2,สำหรับเซต $A$ และ $B$ ใดๆ ข้อใดต่อไปนี้ผิด
chap-01-set-q36,chap-01-set,mc,,มี,1,จงพิจารณาข้อความต่อไปนี้  ก. จากแผนภาพด้านขวานี้ ส่วนที่แรเงาคือ $C - (A \cap B)$  ข. ให้ $A$ และ $B$ เป็นเซตใ
chap-01-set-q38,chap-01-set,mc,,มี,3,"กำหนดให้เอกภพสัมพัทธ์คือเซต $\mathcal{U} = \{1, 2, 3, 4, 5\}$ และ $A$, $B$, $C$ เป็นเซตซึ่งมีเงื่อนไขว่า $n(A)"
chap-01-set-q39,chap-01-set,mc,,มี,0,สำหรับเซต $X$ ใดๆ ให้ $n(X)$ แทนจำนวนสมาชิกของเซต $X$  กำหนดให้ $\mathcal{U}$ เป็นเอกภพสัมพัทธ์ที่มีสมาชิก 240
chap-01-set-q40,chap-01-set,mc,,มี,0,จากการสำรวจผู้ฟังเพลงจำนวน 180 คน พบว่ามีผู้ชอบเพลงไทยสากล 95 คน เพลงไทยเดิม 92 คน เพลงลูกทุ่ง 125 คน เพลงไทยส
chap-01-set-q41,chap-01-set,fill,,มี,11,จากการสอบถามผู้ดื่มกาแฟ 20 คน พบว่า  ก. จำนวนผู้ที่ใส่ครีมในกาแฟ น้อยกว่าสองเท่าของจำนวนผู้ที่ใส่น้ำตาลในกาแฟอ
chap-01-set-q42,chap-01-set,mc,,มี,1,ระหว่างปิดภาคเรียนครั้งหนึ่ง เด็กนักเรียนคนหนึ่งได้ไปพักผ่อนที่ชายทะเลพัทยา ตลอดช่วงเวลาที่เขาพักผ่อนที่พัทยาเ
chap-01-set-q43,chap-01-set,mc,,มี,0,จากการสำรวจนักเรียนห้องหนึ่งพบว่า  ก. มี 20 คน ที่เลือกเรียนฝรั่งเศสหรือคณิตศาสตร์  ข. ถ้าเลือกเรียนฝรั่งเศสแล
chap-01-set-q44,chap-01-set,fill,,มี,415,หมู่บ้านแห่งหนึ่งมีครอบครัวทั้งหมด 800 ครอบครัว ประกอบอาชีพค้าขายอย่างเดียว 10 ครอบครัว นอกนั้นทำสวนเงาะ มังคุ
chap-01-set-q45,chap-01-set,mc,,มี,1,โรงเรียนแห่งหนึ่งมีนักเรียน 80 คน และมีชมรมกีฬา 3 ชมรม คือ ฟุตบอล กรีฑา และว่ายน้ำ นักเรียนทุกคนต้องเป็นสมาชิก
chap-01-set-q46,chap-01-set,mc,,มี,0,ในการสำรวจความนิยมเกี่ยวกับเพลงโดยสอบถามจากนักเรียนโรงเรียนหนึ่งจำนวน 300 คน พบว่าแต่ละคนชอบเพลงลูกทุ่ง เพลงลู
chap-01-set-q47,chap-01-set,fill,,มี,13,"ในการสำรวจความนิยมของผู้ไปเที่ยวสวนสัตว์จำนวน 100 คน พบว่ามี 50 คนชอบช้าง, 35 คนชอบลิง, 25 คนชอบหมี, 32 คนชอบช"
chap-01-set-q48,chap-01-set,mc,,มี,2,ในการสำรวจความนิยมของคนจำนวน 100 คน ที่มีต่อนาย ก นาย ข และนาย ค โดยทุกคนต้องแสดงความนิยมคนใดคนหนึ่งอย่างน้อยห
chap-01-set-q49,chap-01-set,mc,,มี,3,จากการสำรวจแม่บ้านที่ดูละครโทรทัศน์จำนวน 200 คน ปรากฏว่ามี  65 คน ดูละครเรื่องที่ 1  90 คน ดูละครเรื่องที่ 2  
chap-01-set-q50,chap-01-set,mc,,มี,3,"กำหนดให้ $A$, $B$, $C$ เป็นเซตโดยที่ $A \cap B \subset B \cap C$  ถ้า $n(A) = 25$, $n(C) = 23$, $n(B \cap C) ="
chap-01-set-q51,chap-01-set,mc,,มี,1,"กำหนดให้ $A$, $B$, $C$ เป็นเซต  $n(A \cup B) = 92$, $n(A \cup C) = 79$, $n(B \cup C) = 75$, $n(A \cap B \cap C"
chap-01-set-q52,chap-01-set,mc,,มี,1,"กำหนดให้ $A$, $B$, $C$ เป็นเซต ถ้า $n(B) = 42$, $n(C) = 28$, $n(A \cap C) = 8$, $n(A \cap B \cap C) = 3$, $n(A"
chap-01-set-q54,chap-01-set,mc,,มี,2,"ให้ $A$, $B$ และ $C$ เป็นเซต  ซึ่ง $n(A \cup B) = 16$, $n(A) = 8$, $n(B) = 14$, $n(C) = 5$ และ $n(A \cap B \ca"
chap-01-set-q71,chap-01-set,fill,,มี,เซตว่าง,ให้ $X$ และ $A$ เป็นเซต โดย $(X \cap A') \cup (X' \cap A) = A$  จะทราบหรือไม่ว่า $X$ เป็นเซตอะไร เพราะเหตุใด
chap-01-set-q73,chap-01-set,mc,,มี,2,บทนิยาม กำหนดให้ $A$ และ $B$ ต่างก็เป็นสับเซตของเอกภพสัมพัทธ์ $\mathcal{U}$ ให้ $A \triangle B = (A - B) \cup 
chap-01-set-q74,chap-01-set,mc,,มี,1,กำหนดให้ $A * B = (A - B) \cup (B - A)$  บริเวณที่แรเงาในแผนภาพในข้อใดต่อไปนี้คือ $(A * B) * C$
chap-01-set-q75,chap-01-set,mc,,มี,0,"ให้ $A$, $B$, $C$ เป็นเซต ซึ่ง $A - B = B - C$  พิจารณาข้อความต่อไปนี้  ก. $A \subset C$  ข. $A \cup B = B \ca"
chap-01-set-q76,chap-01-set,fill,,มี,90,จากการขนส่งสินค้าทางบกจากกรุงเทพไปยังจังหวัดอุดรธานี พบว่ามีการขนส่งด้วยรถไฟและรถบรรทุกอยู่ร้อยละ 20 มีการขนส่
chap-01-set-q77,chap-01-set,mc,,มี,0,จากการสำรวจพฤติกรรมการทานทุเรียน มะม่วง และมังคุด ของคน 100 คนกลุ่มหนึ่ง พบว่าทุกคนชอบทานผลไม้ทั้งสามชนิดนี้อย
chap-01-set-q78,chap-01-set,fill,,มี,11,จากการสำรวจความนิยมในการดูทีวีของพนักงาน จำนวน 60 คน เป็นชาย 40 คน หญิง 20 คน พบว่า  • พนักงานที่ชอบดู TV ช่อง
chap-01-set-q79,chap-01-set,fill,,มี,18,"จากแผนภาพของ Venn ของเซต 3 เซต $A$, $B$, $C$ โดยแบ่งเป็น 7 บริเวณ ก, ข, ค, ง, จ, ฉ, ช ตามตำแหน่งใน Venn diagra"
chap-01-set-q80,chap-01-set,fill,,มี,"10, 70, 180, 230, 110",ผลการสำรวจนักท่องเที่ยวชาวต่างประเทศ 280 คน พบว่า ทุกคนเคยไปจังหวัดเชียงใหม่หรือขอนแก่นหรือภูเก็ต  มี 150 คนไม
chap-01-set-q81,chap-01-set,fill,,มี,2,"กำหนดให้ $A$, $B$, $C$ เป็นเซต ซึ่ง $n(A \cup B \cup C) = 6$ และ $n(B \cap C) = 2$  ถ้า $n(A \times B) = n(A \"
chap-02-logic-q104,chap-02-logic,mc,,มี,0,"จงพิจารณาข้อความต่อไปนี้  ก. ถ้าเอกภพสัมพัทธ์ $\mathcal{U}$ คือ $(2, 3)$ แล้วประพจน์ $\forall x[20 - x^2 < x^4"
chap-02-logic-q106,chap-02-logic,fill,,มี,เท็จ,"กำหนดเอกภพสัมพัทธ์ $\mathcal{U} = \{-2, -1, 0, 1, 2\}$  ให้ $P(x)$ แทน $|x - 1| < 4$ และ $Q(x)$ แทน $x^2 < 4$ "
chap-02-logic-q107,chap-02-logic,mc,,มี,2,"ให้ $p(x)$ แทนข้อความ ""$\sin x < 0$""  $q(x)$ แทนข้อความ ""$x$ หารด้วย 5 ลงตัว""  $r(x)$ แทนข้อความ ""$(x^2 - 5x +"
chap-02-logic-q108,chap-02-logic,mc,,มี,2,กำหนดให้เอกภพสัมพัทธ์เป็นเซตของจำนวนจริง ข้อใดเป็นเท็จ
chap-02-logic-q110,chap-02-logic,mc,,มี,3,ให้ $A$ เป็นเซตคำตอบของอสมการ $|x + 1| > x + |x - 1|$  ข้อความใดต่อไปนี้มีค่าความจริงเป็นจริง ถ้ากำหนดให้เอกภพ
chap-02-logic-q111,chap-02-logic,mc,,มี,3,กำหนดให้ $\mathcal{U} = \left\{ x \in \mathbb{R} \mid \dfrac{(x - 1)^2}{x + 5} < 1 \right\}$  ให้ $P(x)$ แทนปร
chap-02-logic-q112,chap-02-logic,mc,,มี,2,ให้ $\mathcal{U}$ เป็นเอกภพสัมพัทธ์  ประพจน์ $\forall x\left[\left|x^2 - 3x + 2\right| \leq 2x - x^2\right]$ ม
chap-02-logic-q113,chap-02-logic,mc,,มี,2,เอกภพสัมพัทธ์ในข้อใดที่ทำให้ประพจน์ต่อไปนี้มีค่าความจริงเป็นเท็จ  $\forall x\left[\left|x^2 + 2x + 3\right| \g
chap-02-logic-q116,chap-02-logic,fill,,มี,ไม่สมมูล,จงตรวจสอบว่า ประโยค $\exists x[P(x) \wedge Q(x)]$ กับประโยค $\exists x[P(x)] \wedge \exists x[Q(x)]$ สมมูลกันห
chap-02-logic-q46,chap-02-logic,mc,,มี,3,ประพจน์ต่อไปนี้เป็นสัจนิรันดร์หรือไม่  ก. $[(p \to q) \wedge (q \to r)] \;\leftrightarrow\; (p \to r)$ เมื่อ $
chap-02-logic-q59,chap-02-logic,mc,,มี,3,"กำหนดเอกภพสัมพัทธ์ คือ $\{-2, -1, 0, 1, 2\}$  $P(x)$ คือ $x$ เป็นจำนวนคี่  $Q(x)$ คือ $\dfrac{4}{x}$ เป็นจำนวน"
chap-02-logic-q63,chap-02-logic,mc,,มี,2,ให้เอกภพสัมพัทธ์ $\mathcal{U} = \{ x \in \mathbb{R} \mid |x - 1| \leq 2 \}$ ข้อต่อไปนี้มีค่าความจริงเป็นจริง
chap-02-logic-q66,chap-02-logic,mc,,มี,1,"พิจารณาข้อความต่อไปนี้  ก. ถ้าเอกภพสัมพัทธ์คือเซต $\mathcal{U} = (0, 1) \cup (2, \infty)$ แล้ว ประพจน์ $\foral"
chap-02-logic-q68,chap-02-logic,mc,,มี,3,"เอกภพสัมพัทธ์ในข้อใดที่ทำให้ข้อความ $\big( \forall x [\, x^2 \leq 2x + 3 \,] \big) \wedge \big( \exists y [\, "
chap-02-logic-q69,chap-02-logic,mc,,มี,3,"เอกภพสัมพัทธ์ $\mathcal{U}$ ที่กำหนดในข้อต่อไปนี้ที่ทำให้ประโยค $\exists x [\, 2x^2 + x - 1 \leq 0 \;\wedge\; "
chap-02-logic-q70,chap-02-logic,mc,,มี,3,ให้เอกภพสัมพัทธ์คือเซตของจำนวนจริง ถ้า $P(x)$ แทนข้อความ $x^2 - 3x < 0$ และ $Q(x)$ แทนข้อความ $-2 < \log_{1/3}
chap-02-logic-q71,chap-02-logic,mc,,มี,3,"กำหนดเอกภพสัมพัทธ์คือช่วงเปิด $(-2, 2)$ พิจารณาข้อความต่อไปนี้  ก. ประพจน์ $\forall x [\, |x + x^2| \leq |x| +"
chap-03-realnumber-q116,chap-03-realnumber,mc,,มี,0,ให้ $x$ และ $y$ เป็นจำนวนจริงซึ่งสอดคล้องสมการ $x + y + \dfrac{x}{y} = 13$ และ $\dfrac{x(x+y)}{y} = 42$ ค่าที่
chap-03-realnumber-q118,chap-03-realnumber,mc,,มี,1,ถ้า $A = \{ x \in \mathbb{R} \mid \sqrt{4x+5} = x \}$ และ $B = \{ k \in \mathbb{R} \mid$ สมการ $x^2-2x-k = 0$ 
chap-03-realnumber-q129,chap-03-realnumber,fill,,มี,"(1, 2) ∪ (3, 4)",จงหาจำนวนจริง $x$ ที่ทำให้ $\dfrac{1}{x^2 - 3x + 2} + \dfrac{1}{x^2 - 7x + 12} - \dfrac{1}{x^2 - 4x + 3} < 0$
chap-03-realnumber-q139,chap-03-realnumber,fill,,มี,-5,ถ้า $S = \{x \mid x^2 \le 25\}$ จงหาค่าขอบเขตล่างที่มากที่สุดของ $S$
chap-03-realnumber-q140,chap-03-realnumber,mc,,มี,3,"ให้ $A, B, C$ เป็นเซตซึ่ง $A \cup B = [-1, 8]$, $B - C = (3, 8]$ และ $A - B = [-1, 1)$ ถ้า $B \cap C = [a, b]$"
chap-03-realnumber-q141,chap-03-realnumber,mc,,มี,2,"กำหนด $A=\{x\in\mathbb{R}\mid |x| > x\}$, $B=\{x\in\mathbb{R}\mid x+2\ge 0\}$ และ $C=\{x\in\mathbb{R}\mid x^2 "
chap-03-realnumber-q142,chap-03-realnumber,mc,,มี,1,"ให้ $I^+$ แทนเซตของจำนวนเต็มบวก สำหรับ $n\in I^+$ ให้ $D_n$ แทนช่วงเปิด โดยที่ $D_n=(0,\frac{1}{n})$ ถ้า $s < "
chap-03-realnumber-q143,chap-03-realnumber,fill,,มี,"(2, 4.5)",นำเชือกยาว 18 หน่วยมาขดเป็นรูปสี่เหลี่ยมผืนผ้า ซึ่งมีเส้นทแยงมุมสั้นกว่า $\sqrt{53}$ หน่วย ให้ $A$ แทนเซตของคว
chap-03-realnumber-q145,chap-03-realnumber,mc,,มี,2,"กำหนดให้ $a,b,c$ เป็นจำนวนจริงสอดคล้องกับสมการ $a^2-bc-8a+7=0$ และ $b^2+c^2+bc-6a+6=0$ ค่าของ $a$ ที่เป็นไปได้"
chap-03-realnumber-q146,chap-03-realnumber,fill,,มี,"(-6, -4) ∪ (-4, 1)",ให้ $A$ เป็นเซตคำตอบของอสมการ $(x+6)(x-1) < 0$ และ $B$ เป็นเซตคำตอบของอสมการ $(x-3)^3(x+4)^4 < 0$ จงเขียน $A\c
chap-03-realnumber-q147,chap-03-realnumber,mc,,มี,0,เซตในข้อใดเป็นเซตคำตอบของอสมการ $\dfrac{2x^3+x^2-2x-1}{x^2+2x-3}\ge 0$
chap-03-realnumber-q148,chap-03-realnumber,fill,,มี,"(-∞, -1) ∪ [0, 1]",จงหาเซตคำตอบของสมการ $\dfrac{x^4+x^3-2x}{x^5+1}\le 0$
chap-03-realnumber-q149,chap-03-realnumber,fill,,มี,"(-∞, 0] ∪ (1, 2] ∪ [3, ∞)",กำหนดให้ $A=\left\{\dfrac{a}{b}\in\mathbb{R}\mid \dfrac{a^3-5a^2b+6ab^2}{(a-b)^3}\ge 0\right\}$ แล้ว $A$ เท่าก
chap-03-realnumber-q150,chap-03-realnumber,mc,,มี,2,กำหนดให้ $x-3$ หาร $x^3-4x^2+tx+6$ ลงตัว พิจารณาข้อความต่อไปนี้ ก. $t$ เป็นสมาชิกของเซตคำตอบของอสมการ $\dfrac{
chap-03-realnumber-q151,chap-03-realnumber,fill,,มี,2,กำหนดให้ $A = \{x \in \mathbb{R} \mid \dfrac{2-x^2}{1-x} \le x\}$ และ $B = \{x \in \mathbb{R} \mid \dfrac{x-2}
chap-03-realnumber-q152,chap-03-realnumber,mc,,มี,1,อินเตอร์เซกชันระหว่างเซตคำตอบของอสมการ $\dfrac{8}{x-1} + 3 \le x$ กับเซตในข้อใดได้เซตว่าง
chap-03-realnumber-q153,chap-03-realnumber,mc,,มี,0,เซตคำตอบของอสมการ $\dfrac{1}{x+\sqrt{x}} + \dfrac{1}{x-\sqrt{x}} \le 1$ อินเตอร์เซกกับเซตในข้อใดได้เซตว่าง
chap-03-realnumber-q154,chap-03-realnumber,mc,,มี,2,"ให้ $a, b, c$ เป็นจำนวนจริงใดๆ ข้อใดต่อไปนี้ถูกต้อง"
