id,ชุด,type,correct,ธง,หมายเหตุ,บรรทัดคำตอบ
chap-10-complex-q102,chap-10-complex,fill,"±i, ±sqrt3/2 ± (1/2)i",⚪ เทียบไม่ได้,,"✅ คำตอบ: $\pm i,\ \dfrac{\sqrt3}{2} \pm \dfrac12 i,\ -\dfrac{\sqrt3}{2} \pm \dfrac12 i$"
chap-10-complex-q105,chap-10-complex,fill,e = 1/2 - i ; inverse v = 1/(4a) + (1/b) i เมื่อ u=a+bi ; u=2sqrt3+2i -> 1/(8sqrt3)+i/2 ; u=-2sqrt3+2i -> -1/(8sqrt3)+i/2 ; u=-4i ไม่มีอินเวอร์ส (a=0),⚪ เทียบไม่ได้,,✅ คำตอบ: เอกลักษณ์ $= \dfrac12 - i$
chap-10-complex-q108,chap-10-complex,fill,"(sqrt2 + sqrt6 i)/2 , -(sqrt2 + sqrt6 i)/2",⚪ เทียบไม่ได้,,"✅ คำตอบ: $\dfrac{\sqrt2}{2} + \dfrac{\sqrt6}{2}i,\ -\dfrac{\sqrt2}{2} - \dfrac{\sqrt6}{2}i$"
chap-10-complex-q121,chap-10-complex,fill,a+b = -1/2 ± sqrt3/2 ; p = จำนวนเฉพาะใด ๆ (ทุกค่าผ่านเงื่อนไขรากจริง),⚪ เทียบไม่ได้,,✅ คำตอบ: $a + b = -\dfrac12 + \dfrac{\sqrt3}{2}$ หรือ $-\dfrac12 - \dfrac{\sqrt3}{2}$
chap-10-complex-q77,chap-10-complex,fill,"{ pi/2 , 3pi/2 }",⚪ เทียบไม่ได้,,"✅ คำตอบ: $B = \left\{\dfrac{\pi}{2},\ \dfrac{3\pi}{2}\right\}$"
chap-10-complex-q91,chap-10-complex,fill,1/2^1000,⚪ เทียบไม่ได้,,✅ คำตอบ: $\dfrac{1}{2^{1000}}$
chap-11-sequence-q07,chap-11-sequence,fill,3780,⚪ เทียบไม่ได้,,"✅ คำตอบ: ฝากทั้งหมด $3{,}780$ บาท"
chap-11-sequence-q18,chap-11-sequence,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: $0 
chap-11-sequence-q55,chap-11-sequence,fill,2n - 2 + (1/2)^(n-1),⚪ เทียบไม่ได้,,✅ คำตอบ: $2n - 2 + \left(\dfrac{1}{2}\right)^{n-1}$
chap-13-calculus-q182,chap-13-calculus,fill,"0.5, -1",⚪ เทียบไม่ได้,,✅ คำตอบ: $A=\dfrac{1}{2}$
chap-13-calculus-q186,chap-13-calculus,fill,K ต่อเนื่องทุกค่า t>0,⚪ เทียบไม่ได้,,✅ คำตอบ: $K$ เป็นฟังก์ชันต่อเนื่อง (ทุกค่า $t > 0$)
chap-13-calculus-q188,chap-13-calculus,fill,"-1, 1",⚪ เทียบไม่ได้,,✅ คำตอบ: $x=-1$
chap-13-calculus-q192,chap-13-calculus,fill,(2-3x^2)/sqrt(1-x^2),⚪ เทียบไม่ได้,,✅ คำตอบ: $\dfrac{d^{2}y}{dx^{2}}=\dfrac{2-3x^{2}}{\sqrt{1-x^{2}}}$
chap-13-calculus-q214,chap-13-calculus,fill,"ค่าสูงสุด 3, ค่าต่ำสุด 1",⚪ เทียบไม่ได้,,"✅ คำตอบ: ค่าสูงสุด $=3$, ค่าต่ำสุด $=1$"
chap-13-calculus-q216,chap-13-calculus,fill,"ค่าสูงสุด 25, ค่าต่ำสุด 0",⚪ เทียบไม่ได้,,"✅ คำตอบ: ค่าสูงสุด $=25$, ค่าต่ำสุด $=0$"
chap-13-calculus-q220,chap-13-calculus,fill,"ต่ำสุดสัมพัทธ์/สัมบูรณ์ $=0$ ที่ $x=1,3$; สูงสุดสัมพัทธ์ $=1$ ที่ $x=2$ (ไม่มีค่าสูงสุดสัมบูรณ์)",⚪ เทียบไม่ได้,,"✅ คำตอบ: ต่ำสุด (สัมพัทธ์และสัมบูรณ์) $=0$ ที่ $x=1,3$; สูงสุดสัมพัทธ์ $=1$ ที่ $x=2$; ไม่มีค่าสูงสุดสัมบูรณ์"
chap-13-calculus-q221,chap-13-calculus,fill,เพิ่มขึ้นเมื่อ $0\le x<\dfrac{a}{2}$ และลดลงเมื่อ $\dfrac{a}{2}<x\le a$ (อัตราสูงสุดที่ $x=\dfrac{a}{2}$),⚪ เทียบไม่ได้,,✅ คำตอบ: เพิ่มขึ้นเมื่อ $0\le x 
chap-13-calculus-q255,chap-13-calculus,fill,-1/(2(n-1)(x^2+1)^(n-1)) + C,⚪ เทียบไม่ได้,,"✅ คำตอบ: $-\dfrac{1}{2(n-1)(x^{2}+1)^{\,n-1}}+C$"
chap-13-calculus-q277,chap-13-calculus,fill,"$A=4\int_0^a \dfrac{b}{a}\sqrt{a^2-x^2}\,dx=\pi ab$",⚪ เทียบไม่ได้,,✅ คำตอบ:
chap-13-calculus-q283,chap-13-calculus,fill,หาค่าไม่ได้ (ปริพันธ์ลู่ออก),⚪ เทียบไม่ได้,,✅ คำตอบ: หาค่าไม่ได้ เพราะ $x=2$ อยู่ในช่วงและปริพันธ์ลู่ออก → เติมคำตอบ
chap-13-calculus-q290,chap-13-calculus,fill,"22/3, 17/3",⚪ เทียบไม่ได้,,"✅ คำตอบ: ตำแหน่ง $=\dfrac{22}{3}$ หน่วย, ระยะทาง $=\dfrac{17}{3}$ หน่วย → เติมคำตอบ"
chap-13-calculus-q86,chap-13-calculus,mc,1,⚪ เทียบไม่ได้,,"✅ คำตอบ: $2{,}000\le N "
chap-14-infiniteseries-q07,chap-14-infiniteseries,mc,3,⚪ เทียบไม่ได้,,"✅ คำตอบ: $D=(-1,1)$"
chap-14-infiniteseries-q57,chap-14-infiniteseries,fill,m>n: หาค่าลิมิตไม่ได้ (เป็น $+\infty$ เมื่อ $a_0/b_0>0$ หรือ $-\infty$ เมื่อ $a_0/b_0<0$); m<n: 0,⚪ เทียบไม่ได้,,✅ คำตอบ: $m > n$ หาค่าลิมิตไม่ได้ ($\pm\infty$ ตามเครื่องหมาย $a_0/b_0$); $m 
chap-15-statistics-q164,chap-15-statistics,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ:
chap-15-statistics-q175,chap-15-statistics,fill,7000,⚪ เทียบไม่ได้,,"✅ คำตอบ: $7{,}000$ บาท"
chap-15-statistics-q199,chap-15-statistics,fill,"132, 254",⚪ เทียบไม่ได้,,✅ คำตอบ: ค่าเฉลี่ยที่ถูกต้อง $=132$ บาท และค่าเฉลี่ยเงินที่ได้มา $=254$ บาท
chap-15-statistics-q267,chap-15-statistics,fill,"79.5, 45",⚪ เทียบไม่ได้,,✅ คำตอบ: $\sigma\approx 79.5$ และมัธยฐาน $=45$
gen-chap-01-set-q332,gen-chap-01-set,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ $n(A\cap B)=1$
gen-chap-02-logic-q050,gen-chap-02-logic,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ $p\vee q$ เป็นจริง เมื่ออย่างน้อยหนึ่งตัวเป็นจริง
gen-chap-02-logic-q336,gen-chap-02-logic,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ 12
gen-chap-03-real-q079,gen-chap-03-real,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ $\mathbb{R}$
gen-chap-03-real-q089,gen-chap-03-real,fill,13/4,⚪ เทียบไม่ได้,,✅ คำตอบ $x=\dfrac{13}4$
gen-chap-03-real-q117,gen-chap-03-real,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ ข้อ ก ไม่จริง (อตรรกยะ$\times$อตรรกยะ อาจเป็นตรรกยะ)
gen-chap-03-real-q122,gen-chap-03-real,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ ไม่มีเอกลักษณ์ จึงไม่เป็นกรุป
gen-chap-03-real-q195,gen-chap-03-real,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ ข้อ D
gen-chap-03-real-q213,gen-chap-03-real,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ $*$ มีสมบัติสลับที่
gen-chap-03-real-q216,gen-chap-03-real,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ $*$ ไม่ปิดบน $\mathbb{Z}$
gen-chap-03-real-q224,gen-chap-03-real,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ $0$ เป็นเอกลักษณ์ขวา แต่ $*$ ไม่มีเอกลักษณ์ซ้าย
gen-chap-03-real-q307,gen-chap-03-real,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ $3*4=14$
gen-chap-03-real-q309,gen-chap-03-real,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ ข้อที่ไม่จริงคือ 'มีจำนวนตรรกยะ $a$ ที่ $a^2=3$'
gen-chap-03-real-q313,gen-chap-03-real,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ ไม่เป็นกรุป เพราะ $\dfrac12$ ไม่มีอินเวอร์ส
gen-chap-03-real-q314,gen-chap-03-real,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ มีเอกลักษณ์ขวาคือ $0$ แต่ไม่มีเอกลักษณ์ซ้าย
gen-chap-03-real-q315,gen-chap-03-real,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ ไม่มีทั้งสมบัติสลับที่และสมบัติเปลี่ยนหมู่
gen-chap-03-real-q321,gen-chap-03-real,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ เป็นกรุป เอกลักษณ์ $2$ อินเวอร์สของ $a$ คือ $\dfrac{4}{a}$
gen-chap-03-real-q324,gen-chap-03-real,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ ไม่เป็นกรุป เพราะ $1$ ไม่มีอินเวอร์สใน $\mathbb{Z}$
gen-chap-03-real-q353,gen-chap-03-real,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ ข้อแรก
gen-chap-03-real-q356,gen-chap-03-real,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ ข้อแรก
gen-chap-04-coord-q010,gen-chap-04-coord,fill,"(8,0),(0,-6)",⚪ เทียบไม่ได้,,"✅ คำตอบ: จุดตัดแกน $x$ คือ $(8,0)$ และจุดตัดแกน $y$ คือ $(0,-6)$"
gen-chap-04-coord-q014,gen-chap-04-coord,fill,45°,⚪ เทียบไม่ได้,,✅ คำตอบ: $\theta=45^{\circ}$
gen-chap-04-coord-q021,gen-chap-04-coord,fill,"$(3,-2),\ r=5$",⚪ เทียบไม่ได้,,"✅ คำตอบ: จุดศูนย์กลาง $(3,-2)$ และรัศมี $r=5$"
gen-chap-04-coord-q107,gen-chap-04-coord,fill,-5 < c < 5,⚪ เทียบไม่ได้,,✅ คำตอบ: $-5\lt c\lt5$
gen-chap-04-coord-q169,gen-chap-04-coord,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: ค่ามากสุด $=5$
gen-chap-04-coord-q190,gen-chap-04-coord,fill,"$m=\pm\dfrac{3}{2},\ \pm\dfrac{\sqrt{10}}{2}$",⚪ เทียบไม่ได้,,✅ คำตอบ: $m=\pm\dfrac{3}{2}$ หรือ $m=\pm\dfrac{\sqrt{10}}{2}$
gen-chap-04-coord-q197,gen-chap-04-coord,fill,"$x-y+2=0,\ 2x+y+1=0$",⚪ เทียบไม่ได้,,✅ คำตอบ: $x-y+2=0$ และ $2x+y+1=0$
gen-chap-04-coord-q207,gen-chap-04-coord,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: มีสองวง ตามตัวเลือกแรก
gen-chap-04-coord-q221,gen-chap-04-coord,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ ความยาวเลตัสเรกตัม $=12$
gen-chap-04-coord-q244,gen-chap-04-coord,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ เส้นรอบรูป $=20$
gen-chap-04-coord-q306,gen-chap-04-coord,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: $R=5$
gen-chap-04-coord-q317,gen-chap-04-coord,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $k=5$ หรือ $k=-15$
gen-chap-04-coord-q330,gen-chap-04-coord,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ $k=9$ หรือ $k=49$
gen-chap-04-coord-q349,gen-chap-04-coord,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ พื้นที่ $=4$
gen-chap-04-coord-q360,gen-chap-04-coord,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ $PF=6$
gen-chap-05-function-q022,gen-chap-05-function,fill,$x^{2} - 1$,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(x)=x^2-1$
gen-chap-05-function-q024,gen-chap-05-function,fill,$x^{2} + 2 x - 1$,⚪ เทียบไม่ได้,,✅ คำตอบ: $g(x)=x^2+2x-1$
gen-chap-05-function-q032,gen-chap-05-function,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: $f^{-1}(10)=2$
gen-chap-05-function-q036,gen-chap-05-function,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $k=2$
gen-chap-05-function-q151,gen-chap-05-function,mc,2,⚪ เทียบไม่ได้,,✅ คำตอบ: $(f\circ g)(-1)=7$
gen-chap-05-function-q154,gen-chap-05-function,fill,$x^{2} - x - 2$,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(x)=x^2-x-2$
gen-chap-05-function-q161,gen-chap-05-function,fill,$x^{2} + 2 x$,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(x)=x^2+2x$
gen-chap-05-function-q162,gen-chap-05-function,fill,$x^{2} + 3 x + 1$,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(x)=x^2+3x+1$
gen-chap-05-function-q163,gen-chap-05-function,fill,$4 x^{2} - 4 x + 2$,⚪ เทียบไม่ได้,,✅ คำตอบ: $(f\circ g\circ h)(x)=4x^2-4x+2$
gen-chap-05-function-q168,gen-chap-05-function,fill,$2 x^{2} - 5 x + 3$,⚪ เทียบไม่ได้,,✅ คำตอบ: $f(x)=2x^2-5x+3$
gen-chap-05-function-q172,gen-chap-05-function,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $(f\circ f)(12)=4$
gen-chap-05-function-q195,gen-chap-05-function,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $f^{-1}(4)=2$
gen-chap-05-function-q212,gen-chap-05-function,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: $f^{-1}(4)=-9$
gen-chap-05-function-q213,gen-chap-05-function,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $f^{-1}(5)=2$
gen-chap-05-function-q214,gen-chap-05-function,mc,1,⚪ เทียบไม่ได้,,✅ คำตอบ: $m=-1$
gen-chap-05-function-q219,gen-chap-05-function,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: ตัวเลือกที่มี $\dfrac{x-2}{3}$ (สำหรับ $x\le 2$) และ $\sqrt{x-2}$ (สำหรับ $x\gt 2$)
gen-chap-05-function-q224,gen-chap-05-function,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: $f^{-1}(0)=1$
gen-chap-05-function-q230,gen-chap-05-function,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $g(4)=1$
gen-chap-05-function-q231,gen-chap-05-function,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: $g(6)=4$
gen-chap-05-function-q232,gen-chap-05-function,mc,0,⚪ เทียบไม่ได้,,✅ คำตอบ: $g(2)=-3$
gen-chap-05-function-q234,gen-chap-05-function,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: $h^{-1}(9)=5$
gen-chap-05-function-q240,gen-chap-05-function,mc,3,⚪ เทียบไม่ได้,,✅ คำตอบ: $a=3$
